plant,plant_desc,sales_organization,sales_organization_desc,bts_month,material,material_description,product_desc,product_code,product_grade,product_bag,quantity_in_kg,quantity_in_mt,quantity_in_lb,as_on_date,update_datetime,production_date,region,vertical,company_segment,so_known_name,line_no,product_quality,product_family,order_type_desc
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000410,"PET,HV3012,A,JB/NL,1150KG,NB","PET,HV3012,A,JB/NL,1150KG,NB",HV3012,,JB/NL,13800,13.8,30423.480000000003,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-19,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000410,"PET,HV3012,A,JB/NL,1150KG,NB","PET,HV3012,A,JB/NL,1150KG,NB",HV3012,,JB/NL,23000,23.0,50705.8,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-17,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000410,"PET,HV3012,A,JB/NL,1150KG,NB","PET,HV3012,A,JB/NL,1150KG,NB",HV3012,,JB/NL,25300,25.3,55776.380000000005,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-16,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000410,"PET,HV3012,A,JB/NL,1150KG,NB","PET,HV3012,A,JB/NL,1150KG,NB",HV3012,,JB/NL,16100,16.1,35494.060000000005,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-16,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000410,"PET,HV3012,A,JB/NL,1150KG,NB","PET,HV3012,A,JB/NL,1150KG,NB",HV3012,,JB/NL,17250,17.25,38029.35,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-11,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000410,"PET,HV3012,A,JB/NL,1150KG,NB","PET,HV3012,A,JB/NL,1150KG,NB",HV3012,,JB/NL,2300,2.3000000000000003,5070.58,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-10,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000410,"PET,HV3012,A,JB/NL,1150KG,NB","PET,HV3012,A,JB/NL,1150KG,NB",HV3012,,JB/NL,16100,16.1,35494.060000000005,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-10,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000410,"PET,HV3012,A,JB/NL,1150KG,NB","PET,HV3012,A,JB/NL,1150KG,NB",HV3012,,JB/NL,16100,16.1,35494.060000000005,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-08,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000410,"PET,HV3012,A,JB/NL,1150KG,NB","PET,HV3012,A,JB/NL,1150KG,NB",HV3012,,JB/NL,4600,4.6000000000000005,10141.16,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-08,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000410,"PET,HV3012,A,JB/NL,1150KG,NB","PET,HV3012,A,JB/NL,1150KG,NB",HV3012,,JB/NL,20700,20.7,45635.22,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-07,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000410,"PET,HV3012,A,JB/NL,1150KG,NB","PET,HV3012,A,JB/NL,1150KG,NB",HV3012,,JB/NL,23000,23.0,50705.8,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-03,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000410,"PET,HV3012,A,JB/NL,1150KG,NB","PET,HV3012,A,JB/NL,1150KG,NB",HV3012,,JB/NL,4600,4.6000000000000005,10141.16,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-02,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000410,"PET,HV3012,A,JB/NL,1150KG,NB","PET,HV3012,A,JB/NL,1150KG,NB",HV3012,,JB/NL,23000,23.0,50705.8,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-02,APAC,PET,IPET,GIVL,,A,,
M110,IVL Dhunseri Petrochem Industries private Limited (egypt),EG10,IVL Dhunseri Petrochem Industries private Limited (egypt),Jul-24,2003001012,"PET,N2,A,JB/NL,1150KG","PET,N2,A,JB/NL,1150KG",N2,,JB/NL,57500,57.5,126764.5,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-06,APAC,PET,IPET,EIPET,,A,,
M110,IVL Dhunseri Petrochem Industries private Limited (egypt),EG10,IVL Dhunseri Petrochem Industries private Limited (egypt),Jul-24,2003001012,"PET,N2,A,JB/NL,1150KG","PET,N2,A,JB/NL,1150KG",N2,,JB/NL,230000,230.0,507058.0,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-06,APAC,PET,IPET,EIPET,,A,,
M110,IVL Dhunseri Petrochem Industries private Limited (egypt),EG10,IVL Dhunseri Petrochem Industries private Limited (egypt),Jul-24,2003001012,"PET,N2,A,JB/NL,1150KG","PET,N2,A,JB/NL,1150KG",N2,,JB/NL,230000,230.0,507058.0,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-05,APAC,PET,IPET,EIPET,,A,,
